Mass of Precursor A (g),Solution Volume (ml),Reaction Temperature (°C),Reaction Time(h),Ramp Rate (°C/min),pH Value,Target
2.1,50.0,290.0,21.0,15.0,7.0,0.032
13.0,50.0,270.0,13.0,15.0,7.0,0.105
0.5,50.0,185.0,3.0,15.0,7.0,0.319
3.0,50.0,170.0,3.0,15.0,7.0,0.33299999999999996
1.7,50.0,220.0,2.0,15.0,7.0,0.289
2.0,50.0,160.0,5.0,15.0,7.0,0.27899999999999997
1.4,50.0,180.0,5.0,15.0,7.0,0.504
15.0,50.0,290.0,15.0,15.0,7.0,0.052000000000000005
1.4,50.0,200.0,1.0,15.0,7.0,0.40299999999999997
0.9,50.0,200.0,2.0,15.0,7.0,0.429
1.9,50.0,200.0,2.0,15.0,7.0,0.47700000000000004
14.0,45.0,200.0,1.0,10.0,1.0,0.0
1.7,50.0,170.0,2.0,15.0,7.0,0.304
1.0,35.0,300.0,1.0,15.0,1.0,0.0
2.0,50.0,185.0,5.0,15.0,4.0,0.175
0.6,50.0,200.0,1.0,15.0,7.0,0.266
1.0,35.0,200.0,1.0,10.0,13.0,0.0
1.7,50.0,270.0,17.0,15.0,7.0,0.091
1.0,30.0,200.0,1.0,5.0,10.0,0.022000000000000002
2.6,50.0,160.0,1.0,15.0,7.0,0.271
2.0,35.0,200.0,3.0,15.0,7.0,0.41600000000000004
7.0,50.0,210.0,7.0,15.0,7.0,0.34299999999999997
2.0,20.0,200.0,5.0,15.0,7.0,0.311
0.1,50.0,180.0,2.0,15.0,7.0,0.221
0.6,50.0,200.0,6.0,15.0,7.0,0.342
2.6,50.0,200.0,5.0,15.0,7.0,0.523
1.0,50.0,195.0,1.0,15.0,7.0,0.41200000000000003
0.1,50.0,280.0,5.0,15.0,7.0,0.032
1.0,50.0,240.0,3.0,15.0,7.0,0.44299999999999995
2.0,50.0,200.0,6.0,15.0,7.0,0.179
0.3,50.0,170.0,3.0,15.0,7.0,0.375
2.0,40.0,200.0,1.0,10.0,11.0,0.004
2.0,40.0,160.0,1.0,10.0,7.0,0.41100000000000003
6.0,50.0,210.0,6.0,15.0,7.0,0.35200000000000004
1.0,30.0,200.0,2.0,2.0,5.0,0.055999999999999994
0.01,50.0,160.0,1.0,15.0,7.0,0.0882
2.0,25.0,160.0,0.5,2.0,12.0,0.0
0.5,50.0,200.0,5.0,15.0,7.0,0.40700000000000003
2.0,50.0,200.0,8.0,15.0,7.0,0.14400000000000002
1.1,50.0,200.0,4.0,15.0,7.0,0.444
1.0,50.0,220.0,2.0,15.0,7.0,0.488
1.8,50.0,200.0,5.0,15.0,7.0,0.47700000000000004
1.4,50.0,260.0,5.0,15.0,7.0,0.348
2.0,30.0,200.0,3.0,15.0,7.0,0.376
2.0,30.0,200.0,1.0,5.0,7.0,0.284
0.1,50.0,195.0,2.0,15.0,7.0,0.263
2.0,15.0,200.0,3.0,15.0,7.0,0.284
8.4,50.0,180.0,5.0,15.0,7.0,0.444
9.0,30.0,200.0,1.0,5.0,7.0,0.204
0.1,50.0,160.0,2.0,15.0,7.0,0.19
10.0,50.0,250.0,10.0,15.0,7.0,0.153
1.0,60.0,200.0,1.0,5.0,7.0,0.166
0.5,45.0,200.0,5.0,5.0,2.0,0.001
2.0,50.0,200.0,1.0,2.0,4.0,0.034
0.1,50.0,190.0,5.0,15.0,7.0,0.033
1.0,10.0,160.0,1.0,5.0,12.0,0.009000000000000001
6.0,30.0,200.0,1.0,5.0,7.0,0.374
0.05,50.0,200.0,1.0,15.0,7.0,0.158
2.3,50.0,200.0,0.3,15.0,7.0,0.23199999999999998
20.0,50.0,300.0,20.0,15.0,7.0,0.013000000000000001
8.0,50.0,230.0,8.0,15.0,7.0,0.243
1.9,50.0,200.0,0.8,15.0,7.0,0.37200000000000005
1.0,50.0,280.0,5.0,15.0,7.0,0.011000000000000001
2.0,60.0,180.0,3.0,5.0,8.0,0.17800000000000002
12.0,50.0,260.0,12.0,15.0,7.0,0.121
2.0,45.0,200.0,5.0,2.0,5.0,0.06
2.0,50.0,200.0,2.0,5.0,11.0,0.023
14.0,50.0,280.0,13.0,15.0,7.0,0.092
2.0,40.0,60.0,1.0,10.0,7.0,0.002
2.0,50.0,200.0,2.0,5.0,4.0,0.048
2.9,50.0,130.0,0.4,15.0,7.0,0.11199999999999999
0.5,50.0,220.0,1.0,15.0,7.0,0.389
1.9,50.0,160.0,2.0,15.0,7.0,0.28800000000000003
1.0,10.0,160.0,1.0,5.0,9.0,0.145
0.02,50.0,180.0,1.0,15.0,7.0,0.114
1.0,30.0,200.0,2.0,2.0,14.0,0.0
1.0,30.0,200.0,1.0,5.0,13.0,0.0
1.0,30.0,220.0,1.0,2.0,5.0,0.08800000000000001
2.7,50.0,150.0,0.8,15.0,7.0,0.218
11.0,50.0,250.0,11.0,15.0,7.0,0.14400000000000002
0.5,50.0,180.0,2.0,15.0,7.0,0.308
2.0,50.0,200.0,2.0,5.0,9.0,0.363
1.0,50.0,220.0,3.0,15.0,7.0,0.266
10.0,50.0,240.0,10.0,15.0,7.0,0.185
1.0,30.0,200.0,1.0,5.0,7.0,0.221
1.8,50.0,200.0,0.9,15.0,7.0,0.38799999999999996
1.2,50.0,185.0,3.0,15.0,7.0,0.377
2.0,50.0,285.0,20.0,15.0,7.0,0.047
1.0,30.0,160.0,1.0,5.0,8.0,0.22899999999999998
1.0,30.0,200.0,2.0,2.0,10.0,0.026000000000000002
1.0,30.0,200.0,2.0,2.0,2.0,0.002
2.0,50.0,170.0,1.0,15.0,7.0,0.373
4.0,45.0,200.0,5.0,5.0,6.0,0.15
1.0,25.0,100.0,1.0,10.0,10.0,0.011000000000000001
2.5,50.0,170.0,2.0,15.0,7.0,0.396
6.0,50.0,100.0,1.0,15.0,7.0,0.077
1.0,50.0,260.0,6.0,15.0,7.0,0.122
8.0,40.0,200.0,1.0,10.0,7.0,0.365
1.0,50.0,220.0,10.0,15.0,7.0,0.086
2.0,50.0,200.0,5.0,15.0,8.0,0.469
1.0,35.0,200.0,1.0,15.0,12.0,0.0
1.0,50.0,190.0,4.0,15.0,7.0,0.446
1.1,50.0,240.0,11.0,15.0,7.0,0.153
2.4,50.0,180.0,3.0,15.0,7.0,0.425
9.0,50.0,230.0,9.0,15.0,7.0,0.21100000000000002
1.0,10.0,160.0,1.0,5.0,8.0,0.278
1.5,50.0,240.0,4.0,15.0,7.0,0.312
2.8,50.0,200.0,5.0,15.0,7.0,0.501
5.0,50.0,200.0,5.0,15.0,7.0,0.478
5.0,30.0,200.0,1.0,5.0,7.0,0.485
1.8,50.0,220.0,2.0,15.0,7.0,0.299
2.0,30.0,200.0,1.0,15.0,7.0,0.353
12.0,40.0,200.0,1.0,5.0,10.0,0.032
12.0,50.0,270.0,12.0,15.0,7.0,0.111
0.1,50.0,210.0,2.0,15.0,7.0,0.237
1.4,50.0,195.0,5.5,15.0,7.0,0.41100000000000003
1.7,50.0,200.0,5.0,15.0,7.0,0.46299999999999997
1.8,50.0,240.0,2.0,15.0,7.0,0.213
1.9,50.0,280.0,19.0,15.0,7.0,0.066
1.0,30.0,180.0,1.0,5.0,5.0,0.055999999999999994
1.7,50.0,220.0,3.0,15.0,7.0,0.289
2.0,50.0,185.0,5.0,15.0,7.0,0.47600000000000003
7.2,50.0,300.0,1.0,15.0,7.0,0.044000000000000004
0.2,50.0,160.0,2.0,15.0,7.0,0.26
1.0,50.0,240.0,6.0,15.0,7.0,0.155
2.8,50.0,140.0,0.6,15.0,7.0,0.18899999999999997
2.0,50.0,130.0,5.0,15.0,7.0,0.02
2.0,50.0,195.0,5.0,15.0,7.0,0.521
9.0,50.0,240.0,9.0,15.0,7.0,0.18899999999999997
1.0,30.0,180.0,1.0,5.0,2.0,0.001
1.9,50.0,180.0,2.0,15.0,7.0,0.40399999999999997
4.6,50.0,180.0,1.0,15.0,7.0,0.22699999999999998
21.0,50.0,300.0,21.0,15.0,7.0,0.009000000000000001
1.6,50.0,160.0,2.0,15.0,7.0,0.248
8.0,50.0,220.0,5.0,15.0,7.0,0.298
2.0,50.0,200.0,4.0,15.0,7.0,0.406
5.0,40.0,200.0,1.0,10.0,9.0,0.14400000000000002
2.0,30.0,180.0,5.0,5.0,6.0,0.248
4.0,50.0,190.0,4.0,15.0,7.0,0.44799999999999995
5.0,50.0,190.0,5.0,15.0,7.0,0.466
4.0,50.0,200.0,5.0,15.0,7.0,0.48100000000000004
1.0,55.0,200.0,1.0,5.0,7.0,0.179
2.0,50.0,200.0,2.0,5.0,5.0,0.10300000000000001
2.0,50.0,160.0,5.0,15.0,6.0,0.266
3.0,35.0,200.0,1.0,10.0,11.0,0.001
3.0,50.0,200.0,5.0,15.0,7.0,0.485
1.0,40.0,200.0,1.0,5.0,7.0,0.0
0.8,50.0,220.0,8.0,15.0,7.0,0.222
2.0,60.0,180.0,3.0,2.0,8.0,0.185
0.1,50.0,280.0,2.0,15.0,7.0,0.14400000000000002
1.9,50.0,220.0,2.0,15.0,7.0,0.311
2.0,35.0,160.0,0.5,15.0,4.0,0.009000000000000001
2.0,50.0,220.0,5.0,15.0,7.0,0.35700000000000004
3.4,50.0,200.0,5.0,15.0,7.0,0.447
1.0,30.0,180.0,1.0,10.0,7.0,0.363
2.0,45.0,200.0,1.0,2.0,7.0,0.37200000000000005
1.0,30.0,200.0,2.0,2.0,12.0,0.0
2.0,40.0,200.0,5.0,15.0,7.0,0.511
12.0,30.0,200.0,1.0,5.0,7.0,0.105
2.0,30.0,160.0,0.5,10.0,11.0,0.0
1.6,50.0,200.0,2.0,15.0,7.0,0.447
0.01,50.0,190.0,1.0,15.0,7.0,0.128
2.0,50.0,180.0,3.0,15.0,7.0,0.499
7.0,50.0,220.0,7.0,15.0,7.0,0.321
3.0,60.0,190.0,5.0,15.0,7.0,0.47700000000000004
0.2,50.0,200.0,5.0,2.0,1.0,0.0
2.0,40.0,80.0,1.0,10.0,7.0,0.025
0.1,50.0,185.0,2.0,15.0,7.0,0.24600000000000002
1.0,30.0,200.0,1.0,5.0,9.0,0.162
0.3,50.0,270.0,2.0,15.0,7.0,0.005
5.0,50.0,100.0,0.05,15.0,7.0,0.008
0.5,50.0,270.0,5.0,15.0,7.0,0.08800000000000001
0.5,50.0,280.0,1.0,15.0,7.0,0.215
8.0,30.0,200.0,1.0,5.0,7.0,0.259
4.4,50.0,180.0,1.0,15.0,7.0,0.252
1.0,30.0,200.0,2.0,2.0,6.0,0.138
7.0,50.0,80.0,0.01,15.0,7.0,0.0
1.5,50.0,240.0,2.0,15.0,7.0,0.19899999999999998
17.0,50.0,60.0,0.01,15.0,7.0,0.0
1.0,50.0,300.0,7.0,15.0,7.0,0.0
11.0,50.0,260.0,11.0,15.0,7.0,0.124
1.0,50.0,260.0,3.0,15.0,7.0,0.066
5.2,50.0,160.0,1.0,15.0,7.0,0.17600000000000002
1.8,50.0,160.0,2.0,15.0,7.0,0.264
1.8,50.0,170.0,2.0,15.0,7.0,0.311
2.0,50.0,200.0,1.0,15.0,7.0,0.47
0.8,50.0,220.0,2.0,15.0,7.0,0.244
1.6,50.0,220.0,2.0,15.0,7.0,0.27399999999999997
2.0,50.0,200.0,1.0,2.0,9.0,0.121
1.0,50.0,240.0,1.0,15.0,7.0,0.185
2.0,35.0,200.0,1.0,15.0,7.0,0.39899999999999997
2.0,55.0,180.0,3.0,15.0,7.0,0.462
4.0,50.0,110.0,0.1,15.0,7.0,0.019
2.0,55.0,200.0,3.0,15.0,7.0,0.524
6.4,50.0,60.0,1.0,15.0,7.0,0.002
1.0,30.0,200.0,1.0,5.0,14.0,0.0
3.8,50.0,200.0,5.0,15.0,7.0,0.465
2.0,40.0,200.0,1.0,15.0,7.0,0.431
2.0,50.0,170.0,2.0,15.0,7.0,0.262
0.8,50.0,180.0,5.0,15.0,7.0,0.479
2.4,50.0,200.0,0.2,15.0,7.0,0.183
17.0,50.0,300.0,17.0,15.0,7.0,0.035
2.0,50.0,180.0,5.0,15.0,7.0,0.41200000000000003
2.0,30.0,180.0,5.0,5.0,3.0,0.08800000000000001
13.0,45.0,200.0,1.0,10.0,2.0,0.0
1.8,50.0,200.0,2.0,15.0,7.0,0.46299999999999997
0.01,50.0,240.0,1.0,15.0,7.0,0.079
0.1,50.0,150.0,1.0,15.0,7.0,0.18
0.1,50.0,220.0,2.0,15.0,7.0,0.212
2.0,45.0,200.0,3.0,15.0,7.0,0.501
7.6,50.0,260.0,3.0,15.0,7.0,0.11599999999999999
1.3,50.0,200.0,2.0,15.0,7.0,0.42100000000000004
1.0,10.0,160.0,1.0,5.0,11.0,0.021
1.0,30.0,200.0,2.0,2.0,9.0,0.172
0.7,50.0,200.0,1.0,15.0,7.0,0.305
1.0,50.0,280.0,4.0,15.0,7.0,0.099
2.0,20.0,180.0,5.0,5.0,1.0,0.0
2.0,25.0,200.0,5.0,15.0,7.0,0.365
1.0,30.0,200.0,1.0,5.0,6.0,0.122
1.0,30.0,200.0,1.0,5.0,12.0,0.0
11.0,30.0,200.0,1.0,5.0,7.0,0.11199999999999999
1.0,30.0,200.0,2.0,2.0,7.0,0.207
4.0,30.0,200.0,1.0,5.0,7.0,0.462
2.0,35.0,160.0,0.5,2.0,5.0,0.044000000000000004
1.9,50.0,190.0,2.0,15.0,7.0,0.465
1.6,50.0,170.0,2.0,15.0,7.0,0.295
0.5,50.0,260.0,3.0,15.0,7.0,0.27399999999999997
2.0,40.0,20.0,1.0,10.0,7.0,0.0
1.0,50.0,220.0,5.0,15.0,7.0,0.276
8.8,50.0,140.0,1.0,15.0,7.0,0.299
0.6,50.0,180.0,5.0,15.0,7.0,0.45299999999999996
2.0,40.0,200.0,3.0,15.0,7.0,0.466
2.0,55.0,200.0,1.0,2.0,5.0,0.081
1.6,50.0,200.0,0.1,15.0,7.0,0.217
0.6,50.0,240.0,2.0,15.0,7.0,0.191
2.0,60.0,200.0,5.0,15.0,7.0,0.491
1.0,50.0,250.0,2.0,15.0,7.0,0.11699999999999999
1.0,50.0,220.0,4.0,15.0,7.0,0.311
1.0,50.0,235.0,10.0,15.0,7.0,0.166
2.0,15.0,200.0,1.0,15.0,7.0,0.273
2.0,50.0,200.0,2.0,5.0,3.0,0.022000000000000002
1.0,50.0,150.0,1.0,15.0,7.0,0.142
1.0,30.0,200.0,1.0,5.0,11.0,0.002
0.4,50.0,260.0,2.0,15.0,7.0,0.083
10.0,40.0,200.0,5.0,2.0,9.0,0.18600000000000003
1.0,25.0,120.0,1.0,15.0,9.0,0.121
1.4,50.0,160.0,1.0,15.0,7.0,0.336
6.0,50.0,200.0,6.0,15.0,7.0,0.371
2.0,25.0,200.0,3.0,15.0,7.0,0.332
16.0,50.0,300.0,16.0,15.0,7.0,0.047
2.0,60.0,180.0,3.0,2.0,7.0,0.406
1.0,50.0,260.0,14.0,15.0,7.0,0.032
1.0,50.0,185.0,6.0,15.0,7.0,0.42200000000000004
1.6,50.0,265.0,16.0,15.0,7.0,0.094
2.0,50.0,140.0,5.0,15.0,7.0,0.248
2.0,30.0,190.0,1.0,5.0,7.0,0.377
2.0,50.0,200.0,2.0,5.0,14.0,0.0
2.0,40.0,200.0,1.0,10.0,7.0,0.49200000000000005
8.0,50.0,220.0,8.0,15.0,7.0,0.276
1.8,50.0,190.0,2.0,15.0,7.0,0.44299999999999995
2.0,30.0,200.0,5.0,15.0,7.0,0.39799999999999996
7.8,50.0,240.0,4.0,15.0,7.0,0.175
1.0,50.0,240.0,12.0,15.0,7.0,0.066
2.0,25.0,160.0,0.5,15.0,12.0,0.0
8.6,50.0,160.0,3.0,15.0,7.0,0.40299999999999997
